num_players,player_stack,player_cards,pre_flop,flop,decision_flop,turn,decision_turn,river,decision_river,net_result,winners
5,40.11,9s Jd,"received, received, folds",3d 10h 8d,,,,,,0.0,Portly23
5,20.5,3d 3s,"received, received, raises, mucks, mucks",,,,,,,1.5,IlxxxlI
6,6.29,Js 2c,"received, received, folds",2s 3c Qh,,,,,,0.0,Parcker
4,23.59,5s 4s,"received, received, folds, does",,,,,,folded,0.0,Portly23
5,89.03,Qs 8s,"received, received, folds",2s Qh 7c,,3h,,Ad,,0.0,"Ice, FirstClan"
6,6.29,Js Qd,"received, received, folds, does",,,,,,folded,0.0,dtnfk
8,10.35,2h,"has, received, received, folds, does",,,,,,folded,-0.25,Ice
6,5.25,Qc Kc,"received, received, calls",As Js Kd,calls,Qh,checks,8s,checks,1.36,IlxxxlI
7,38.89,8h Jh,"received, received, folds",6h 6c Ad,,,,,,0.0,twoakers
5,21.0,9d 5c,"has, received, received, folds, does",,,,,,folded,-0.5,gust
4,25.59,As 4s,"has, received, received, calls",5h 8h Jh,bets,6h,"checks, folds, does",,folded,-2.0,gust
5,89.03,5c Kc,"received, received, folds",8d 5s 6s,,,,,,0.0,Ice
6,5.0,Kh,"received, received, raises, folds",9s 10s 8h,,6s,,Js,,-0.5,Flushdogg
5,20.5,7d 2s,"has, received, received, mucks, mucks",,,,,,,0.5,IlxxxlI
5,26.59,5c 8h,"has, received, received, folds, does",,,,,,folded,-1.0,Portly23
8,10.35,3h 6s,"received, received, folds",4c Qc Ad,,,,,,0.0,Ice
6,5.0,7s As,"has, received, received, allin, mucks, mucks",,,,,,,0.25,IlxxxlI
5,26.59,7h,"received, received, folds, does",,,,,,folded,0.0,Pimpika
5,20.5,5h 8h,"received, received, folds, does",,,,,,folded,0.0,AironVega
5,6.39,6h 8s,"has, received, received, folds",Jc Kd 3c,,5c,,4h,,-0.1,Parcker
5,40.61,Qs 2d,"has, received, received, folds",Kd 6d 5h,,7c,,Ah,,-0.5,l3ae
8,10.35,4h 5d,"received, received, folds, does",,,,,,folded,0.0,xx10jqkaxx
6,7.5,Qc Qs,"received, received, raises, allin",7h Kc Qd,,2c,,4d,,-7.5,dtnfk
4,89.03,9s,"received, received, folds",3s 9h 7c,,7d,,Qd,,0.0,"FirstClan, WomboComboAA"
5,40.11,5h Qc,"has, received, received, mucks, mucks",,,,,,,0.5,IlxxxlI
