num_players,player_stack,blind,player_cards,pre_flop,flop,decision_flop,turn,decision_turn,river,decision_river,net_result
4,20.0,2,7s Ah,"received, received, folds",2h 6h Jd,,,,,,-0.5
9,40.0,1,10s As,"received, received, calls",9s 8c 3d,checks,2d,"checks, folds",Ad,,-2.0
9,86.2,0,9c 8d,"received, received, folds",,,,,,,0.0
5,40.0,2,Kh 2s,"received, received, folds",8c 7h Qd,,,,,,-2.0
8,52.0,0,6h 10s,"received, received, folds",,,,,,,0.0
8,20.75,0,Qc 6h,"received, received, folds",4d 10s 6s,,9c,,3s,,0.0
9,86.2,0,2c 5h,"received, received, folds",,,,,,,0.0
9,41.5,2,Jd 8d,"received, received, calls",Ac 5h As,folds,,,,,-3.0
8,52.0,0,Kc 9c,"received, received, folds",,,,,,,0.0
5,40.0,0,3s Ah,"received, received, folds",,,,,,,0.0
4,20.0,0,Kd 6h,"received, received, folds",Ad 7s 10h,,Jh,,As,,0.0
5,40.0,0,4d Kh,"received, received, folds",,,,,,,0.0
9,41.5,0,5d Qd,"received, received, folds",,,,,,,0.0
9,86.2,0,9c 6h,"received, received, folds",4h 10d 9s,,,,,,0.0
7,52.0,0,4c Jh,"received, received, folds",,,,,,,0.0
9,41.5,0,8d 2c,"received, received, folds",,,,,,,0.0
4,20.0,0,Kd Qd,"received, received, raises",8h 4h 10s,bets,,"checks, folds",,,-2.5
8,20.75,0,6d 10d,"received, received, folds",6h 8h Ad,,Jc,,4s,,0.0
7,20.75,0,Qh 4c,"received, received, folds",,,,,,,0.0
6,48.4,0,Js Ks,"received, received, raises, calls",8s Jh 8d,allin,3s,,Qd,,-48.4
4,22.24,0,Ad Qc,"received, received, raises, folds",5s 8h 4h,,,,,,-2.5
7,20.75,0,8d Ks,"received, received, folds",,,,,,,0.0
7,53.0,1,5d 2d,"received, received, folds",4c 9c Ah,,2s,,7d,,-1.0
8,86.2,0,4h 3c,"received, received, folds",Qs 9h 2h,,7s,,As,,0.0
9,41.5,0,2s 9d,"received, received, folds",5d 7s 6c,,Js,,2c,,0.0
7,20.0,0,Ad Js,"received, received, raises, mucks",,,,,,,0.75
6,50.4,1,7d 6h,"received, received, calls, folds",,,,,,,-2.0
8,52.0,2,7d 9h,"received, received, mucks",,,,,,,1.0
7,20.0,0,3s Qc,"received, received, folds",,,,,,,0.0
4,22.49,1,Jd Qc,"received, received, folds",5s Js 3h,,,,,,-0.25
9,41.5,0,Ah 8s,"received, received, folds",,,,,,,0.0
8,85.2,1,6c 6s,"received, received, raises, mucks",,,,,,,1.0
8,49.0,0,Ah Jc,"received, received, raises, mucks",,,,,,,3.0
7,20.0,1,5d 8h,"received, received, folds",,,,,,,-0.25
6,45.0,2,7c 6c,"received, received, calls",2d 8h Qs,checks,3h,"bets, mucks",,,5.4
6,162.9,0,Js Kc,"received, received, raises",5d Ac 4s,"checks, folds",,,,,-4.0
4,20.0,2,4s Qc,"received, received, checks",Qs Kh 10h,checks,4h,bets,8c,"bets, mucks",2.49
8,49.0,0,Kc 3s,"received, received, folds",,,,,,,0.0
6,45.0,0,3h 7h,"received, received, folds",,,,,,,0.0
9,40.0,0,Ad 10s,"received, received, raises, mucks",,,,,,,1.5
8,44.1,2,Jh Js,"received, received, raises, allin",7s Ks Ad,,6h,,6s,,41.1
7,20.0,2,5s Kc,"received, received, folds",Qs 6d 2c,,,,,,-0.5
6,78.5,0,Kh 9d,"received, received, folds",,,,,,,0.0
8,46.0,0,Ad Qd,"received, received, raises, mucks",,,,,,,3.0
4,20.0,0,3s 8h,"received, received, folds",4d 4c Kc,,,,,,0.0
8,44.1,0,Kh 10d,"received, received, folds",,,,,,,0.0
6,42.0,0,Jh Jc,"received, received, raises, mucks",,,,,,,3.0
4,20.0,0,4c Qh,"received, received, folds",,,,,,,0.0
7,20.0,0,10s 9h,"received, received, folds",Qh Ks 5d,,,,,,0.0
4,20.0,0,4h 7d,"received, received, folds",10s Kd 7s,,,,,,0.0
6,42.0,0,9s 8c,"received, received, folds",,,,,,,0.0
7,20.0,0,4h 7d,"received, received, folds",3c Js 6s,,,,,,0.0
6,162.9,0,6d Ac,"received, received, folds",4d 9d Qd,,2h,,8h,,0.0
7,20.0,0,Jd 7d,"received, received, folds",,,,,,,0.0
6,42.0,0,5c Jc,"received, received, folds",,,,,,,0.0
6,40.0,0,7c 7h,"received, received, calls, calls",6c 5h 7s,"checks, calls",Kc,"checks, allin",9d,,38.5
6,162.9,0,9c Jd,"received, received, folds",,,,,,,0.0
9,40.0,0,9s 5s,"received, received, folds",Qh Kh 3c,,,,3d,,0.0
5,20.0,2,10h 10d,"received, received, caps",2c Qd Ks,,9c,,4d,,-15.0
6,40.0,1,Kc 4c,"received, received, raises, mucks",,,,,,,2.0
7,20.0,0,10c 5c,"received, received, folds",2s 6h 4s,,,,,,0.0
6,162.9,0,8h Jc,"received, received, folds",,,,,,,0.0
8,46.0,0,2d Qs,"received, received, folds",Jd 5h Ad,,Kc,,4s,,0.0
7,20.0,0,2d 9s,"received, received, folds",,,,,,,0.0
8,44.1,0,Qh 7h,"received, received, folds",5h Jh 7c,,3h,,,,0.0
6,40.0,0,3d Ah,"received, received, folds",2d 7h 5h,,Ac,,Qh,,0.0
5,161.1,1,Qc 10h,"received, received, calls",Kc 10c 3d,checks,,"bets, mucks",,,1.8
7,20.0,1,2d 3d,"received, received, folds",,,,,,,-0.25
6,40.0,1,5c 9d,"received, received, folds",,,,,,,-0.5
9,40.0,0,Qd 4c,"received, received, folds",,,,,,,0.0
8,44.1,0,5s 6h,"received, received, folds",,,,,,,0.0
9,46.0,0,5c 3s,"received, received, folds",,,,,,,0.0
5,20.75,0,Js Ks,"received, received, raises",5c Qc 6d,"checks, folds",4d,,6h,,-1.75
6,40.0,2,3d 10s,"received, received, folds",9h Kc Qc,,,,,,-2.0
7,20.0,2,8d Ah,"received, received, folds",,,,,,,-0.5
6,40.0,2,8h Ks,"received, received, folds",,,,,,,-1.0
8,44.1,0,6c 4c,"received, received, folds",,,,,,,0.0
5,20.0,0,9d 9c,"received, received, raises, mucks",,,,,,,0.75
5,81.55,2,9s Qd,"received, received, calls",Js Qs 7d,"checks, calls",5c,"checks, calls",5d,"checks, allin",79.55
9,40.0,1,5s Qd,"received, received, folds",8c 9h 4d,,,,,,-0.5
8,46.5,0,Kh Qd,"received, received, raises, folds",,,,,,,-2.4
5,81.55,0,7d 9c,"received, received, folds",,,,,,,0.0
5,81.55,0,Qd 3c,"received, received, folds",4c 6c 9c,,,,,,0.0
5,20.0,0,7h 5d,"received, received, folds",8s 8d 3s,,9h,,Jc,,0.0
9,47.0,1,4s 2d,"received, received, folds",Ah 8d 5c,,4c,,9c,,-1.0
8,46.5,0,9s 3d,"received, received, folds",8c 5h 9h,,,,,,0.0
5,94.21,0,Ah Qs,"received, received, raises",Qd Kc 8h,calls,4h,calls,Qc,bets,74.64
9,40.0,2,Jc 3c,"received, received, calls",10s 8c 2s,"checks, folds",,,,,-2.2
9,49.0,2,6h 9c,"received, received, folds",,,,,,,-2.0
8,47.0,1,9c 7d,"received, received, folds",,,,,,,-0.5
5,20.0,0,5c 4s,"received, received, folds",As 4d 2d,,3c,,,,0.0
9,46.0,0,Kc Ah,"received, received, raises, mucks",,,,,,,3.0
5,81.55,0,3c 7h,"received, received, folds",10h 5c Ks,,2s,,Kc,,0.0
9,46.0,0,6d 5s,"received, received, folds",,,,,,,0.0
5,82.0,0,7h 7d,"received, received, raises",6h 2s 9h,checks,3s,"raises, mucks",,,12.21
8,44.5,2,Js Jd,"received, received, raises, mucks",,,,,,,2.5
5,20.0,1,Ah 3c,"received, received, folds",Kh Ac 5h,,9c,,2c,,-0.25
8,43.0,0,Ks Qc,"received, received, raises, mucks",,,,,,,1.5
2,81.0,1,8c Qh,"received, received, raises",9d Js Kc,"bets, mucks",,,,,4.5
2,80.0,2,Ad 3d,"received, received, mucks",,,,,,,1.0
5,82.55,1,8s 3h,"received, received, folds",6d Ah Kc,,Ks,,,,-1.0
8,41.5,0,Kd Jd,"received, received, raises, mucks",,,,,,,1.5
5,20.0,2,8d 6s,"received, received, folds",10s Qh 6h,,,,,,-0.5
5,82.0,0,Jd 4h,"received, received, folds",3h 2s Qs,,Jh,,9d,,0.0
8,41.5,0,3h 6c,"received, received, folds",,,,,,,0.0
2,80.0,1,Jd As,"received, received, raises",Qd 8s Jh,checks,Kh,folds,,,-5.0
5,80.0,1,As Ks,"received, received, raises, mucks",,,,,,,2.0
3,80.0,1,9h 4d,"received, received, folds",,,,,,,-1.0
5,86.55,2,4s 4c,"received, received, calls",8h 3d 7d,"checks, folds",,,,,-4.0
8,40.0,0,Qs 10s,"received, received, raises, mucks",,,,,,,1.5
9,46.0,0,2h 6d,"received, received, folds",3c Jc Qd,,,,4h,,0.0
5,86.55,0,Qd 2d,"received, received, folds",,,,,,,0.0
6,80.0,2,6s 10c,"received, received, folds",,,,,,,-2.0
5,86.55,0,5d 10d,"received, received, folds",,,,,,,0.0
9,43.0,0,Jd Kc,"received, received, raises, mucks",,,,,,,3.0
5,86.55,0,Jh 2s,"received, received, folds",,,,,,,0.0
8,40.0,0,3d 6c,"received, received, folds",,,,,,,0.0
4,80.0,2,9h Jd,"received, received, calls",8c 4d Kd,checks,Qs,"bets, folds",,,-10.75
6,80.0,0,10h 5h,"received, received, folds",6c 9s 8d,,4h,,,,0.0
5,87.55,1,Qs 6s,"received, received, folds",,,,,,,-1.0
9,43.0,0,2h 10d,"received, received, folds",10s 9d Qs,,,,,,0.0
5,86.55,2,10c 8s,"received, received, mucks",,,,,,,1.0
6,60.05,0,9d Qd,"received, received, raises, mucks",,,,,,,1.5
9,40.0,0,Jh 2d,"received, received, folds",,,,,,,0.0
